,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9,KM10_1,KM10_2,KM10_3,KM10_4,KM10_5,KM10_6,KM10_7,KM10_8,KM10_9,KM10_10
Seg_size,8950,6260,1692,998,3298,1334,3693,625,1206,3041,580,3447,676,2804,664,549,2925,1420,588,660,2709,2468,269,545,931,1368,2404,2711,545,1350,532,650,225,533,484,2663,496,649,447,215,1053,538,2405,229,2543,2179,427,557,640,476,636,1109,154
Seg_pct,100.00%,69.94%,18.91%,11.15%,36.85%,14.91%,41.26%,6.98%,13.47%,33.98%,6.48%,38.51%,7.55%,31.33%,7.42%,6.13%,32.68%,15.87%,6.57%,7.37%,30.27%,27.58%,3.01%,6.09%,10.40%,15.28%,26.86%,30.29%,6.09%,15.08%,5.94%,7.26%,2.51%,5.96%,5.41%,29.75%,5.54%,7.25%,4.99%,2.40%,11.77%,6.01%,26.87%,2.56%,28.41%,24.35%,4.77%,6.22%,7.15%,5.32%,7.11%,12.39%,1.72%
BALANCE,1564.4748276781,863.475558425081,3648.04395183983,2429.06046639779,841.690545562764,4030.73174291154,1073.37581515678,3016.29001285599,4262.03814667496,887.313417017757,3097.92995527413,1110.38589543226,797.946813704141,895.98656137411,778.124305468373,3136.88430004189,790.478334749057,2807.37838945141,5020.83831277211,783.540353496969,842.661071669249,687.031504598458,3884.47512582156,4990.83602030275,1819.43593990655,2958.8641651652,674.778721287851,851.144959691256,1906.81977031376,3008.92362603852,1655.22874677443,791.632849363076,4141.03038349778,4961.14282249531,6136.04162445041,852.827818536236,1672.89137028629,792.545124807395,4748.91688559732,4210.50825531628,1711.54961381101,1757.3272849461,682.44500193846,3822.40744147599,869.498024433344,633.296643956401,4352.58021143092,1631.45376542011,742.067789748437,6246.10885857143,1248.06038097013,1818.15461422813,3312.9153966948
BALANCE_FREQUENCY,0.877270725586599,0.841158748722047,0.950765499408983,0.979182366733466,0.921371283505152,0.959697626686656,0.790072693203358,0.983864657599999,0.970096712271972,0.927395075304174,0.98493775,0.802194266608645,0.776627815088758,0.935419932239656,0.776008804216868,0.985411961748633,0.771387729572649,0.946469105633802,0.972957911564625,0.773325525757576,0.769707030638612,0.914203250810369,0.986321401486989,0.972513222018348,0.972680095596132,0.949475764619882,0.912961178036602,0.771084127259314,0.970805783486238,0.950724293333333,0.960411469924811,0.772402327692308,0.990262635555555,0.97191143902439,0.987973008264463,0.769118894479911,0.961455814516128,0.772372645608629,0.973245574944071,0.9906554,0.928350952516618,0.970763884758364,0.914437548856546,0.985977689956332,0.764876832874559,0.905993430013764,0.970105892271662,0.960617420107719,0.7717541015625,0.97998981092437,0.959878682389936,0.932983593327321,0.984961636363636
PURCHASES,1003.20483351956,546.210225239616,384.907807328606,4917.97919839679,1094.6299181322,443.563575712144,222.62903059843,6327.537552,475.733258706468,1167.68977310095,6540.92934482758,227.671021177836,407.519704142012,1234.97879814551,413.973012048193,6715.37653916211,279.671507692308,213.182169014084,737.117465986395,416.886287878788,254.737201919528,818.381385737437,9336.0734944238,718.861724770642,2986.22687432868,226.848932748538,771.932982529116,240.532183696053,2850.86911926606,226.171874074074,3245.97392857143,378.586738461538,10003.4263555556,728.156622889306,408.550309917355,246.923323319565,3488.33078629032,382.76157164869,786.497181208054,10080.5557674419,184.063114909782,2841.27109665428,791.458515592514,5510.36423580786,238.627880456155,672.633974300137,780.011545667447,3002.39351885099,375.36003125,394.554579831933,2030.72476415094,170.022100991885,11238.8164935065
ONEOFF_PURCHASES,592.437370949722,287.984338658146,246.624355791962,3088.42094188377,514.008059429957,276.327211394303,173.540869212023,4156.174336,299.866907131012,554.783781650772,4298.24443103448,172.03952132289,247.89275147929,579.373188302424,251.188614457831,4426.91216757742,203.333808547009,146.775795774648,471.794234693877,257.173878787879,199.751295681064,359.891831442464,6695.95208178439,460.077449541284,1546.41561761547,154.659466374269,309.403115640599,186.576812984139,755.355724770642,150.997681481481,2766.0757518797,220.953523076923,6991.27960000001,467.118011257035,245.79673553719,190.668479158844,2996.81923387097,224.456918335901,508.227002237136,6925.26213953489,127.549781576448,742.381840148698,330.013983367984,2032.38379912664,185.797479355093,287.888370812299,510.111217798595,2523.43368043088,216.578953125,240.408991596639,465.916210691823,116.341920649234,9320.42642857143
INSTALLMENTS_PURCHASES,411.067644692737,258.54297284345,138.343540189125,1830.15945891784,580.976858702243,167.312578710645,49.3086244245871,2172.323216,175.950655058043,613.192341335086,2243.71939655172,55.8676965477226,160.07073964497,655.91616262482,163.236204819277,2289.55726775956,76.6160478632478,66.4779718309859,265.323231292517,160.166954545455,55.1942414174972,458.943598055106,2640.12141263941,258.784275229358,1440.45572502685,72.2637865497076,462.995998336107,54.1454776835116,2096.61431192661,75.2495037037037,479.990281954887,158.094753846154,3012.14675555556,261.03861163227,162.891900826446,56.448377769433,491.610342741936,158.766902927581,278.270178970917,3155.29362790698,56.5463057929725,2100.00449814127,461.910469854471,3480.60052401747,53.0330672434133,385.10105553006,269.900327868852,479.047809694794,159.249828125,154.286239495798,1564.88286163522,53.9809107303878,1918.39006493507
CASH_ADVANCE,978.871112465475,300.020667011342,3784.87588551478,479.716515815631,173.53012646513,4273.173727006,570.090565036284,612.5374255664,4418.61411093698,176.376988895429,573.685889158621,550.415039739773,984.714434689349,170.33089810378,959.389838087349,500.04685882878,252.587732918974,2138.43456250775,6116.21061691667,975.492664713636,301.637523123662,113.524657014587,634.842319345725,6281.33002017248,367.044272093448,2254.34264033918,113.182080735441,310.481003967171,396.954413579816,2290.80340176667,322.976691710526,992.339878364615,666.429651155556,6325.28478893058,3170.72802643182,295.90244102516,321.166802127016,989.232422072419,6596.83899594856,700.771741572093,1964.27337560684,357.569204895911,115.077032502287,767.793584449781,292.624717794731,101.943408646627,6199.10684344497,325.338666445242,930.549877154687,4118.98374786765,284.902211117925,1795.74727614608,400.58701748052
PURCHASES_FREQUENCY,0.490350548379888,0.484736084504793,0.245523861111111,0.940644434869739,0.861099684354153,0.28057322263868,0.158481922014622,0.9426755712,0.283107083747927,0.86723293423216,0.943544077586207,0.165997619669277,0.429741940828402,0.893191828459343,0.435952137048193,0.942025921675774,0.214910605470086,0.162354690140845,0.371302534013606,0.429692757575757,0.168599016611295,0.847800133711507,0.941331535315985,0.365040554128441,0.928519368421052,0.174939989035088,0.849362391846922,0.165604733677609,0.95277964587156,0.178470054074074,0.849258112781955,0.423611106153846,0.954370377777778,0.367224080675422,0.300408508264463,0.171499976342471,0.848087754032258,0.424584825885978,0.371472293064877,0.96503876744186,0.144203648622982,0.951080994423792,0.853749982536382,0.970184384279476,0.162488785686197,0.835330132629646,0.365731398126464,0.845542971274686,0.4281900984375,0.291317039915966,0.934984691823899,0.140841670874662,0.924576948051948
ONEOFF_PURCHASES_FREQUENCY,0.202457683575421,0.158193060223644,0.117072162529551,0.624871354709419,0.278184754699819,0.133434445277362,0.076394689683185,0.6950652928,0.135581323383085,0.295074959223941,0.70071690862069,0.076023899042647,0.122325523668639,0.307878977175465,0.12291725,0.705220049180328,0.089714011623932,0.076730485915493,0.18460881122449,0.121684089393939,0.081931107788853,0.244276216774717,0.790627475836431,0.18274392293578,0.520563738990333,0.080365953947368,0.232641497920133,0.080445494651421,0.359873297247706,0.080190585925926,0.705950977443609,0.115992049230769,0.799750857777778,0.186389189493433,0.123717510330579,0.082253955689073,0.710826016129032,0.117519001540832,0.1922925950783,0.803227641860465,0.070359311490978,0.356501141263941,0.241039696881497,0.593439379912664,0.079341334644122,0.228446218907755,0.191299983606557,0.697332861759425,0.1158078953125,0.123729382352941,0.26322301572327,0.067041443642922,0.855057077922078
PURCHASES_INSTALLMENTS_FREQUENCY,0.364437341564245,0.355464248881789,0.156089611702128,0.773952290581162,0.67946153062462,0.183446112443778,0.078704060926077,0.7767661888,0.18685742039801,0.685771255836894,0.780135981034483,0.087089341456339,0.293280976331361,0.713263006062766,0.298643986445784,0.774096300546448,0.122013987350428,0.092360223239437,0.255788829931973,0.291426171212122,0.0836795393134,0.665991384116692,0.740328944237918,0.250379563302752,0.77840797207304,0.101399967836257,0.680162509983359,0.082363656215419,0.915323579816514,0.105245794074074,0.489917046992481,0.289627598461539,0.797696968888889,0.251420003752345,0.203242669421488,0.086265772812617,0.481163475806451,0.289988263482281,0.255153416107383,0.827434809302325,0.08013036277303,0.912672892193309,0.681668268607067,0.941346109170305,0.080465088871412,0.656402047728314,0.24894268618267,0.494365585278276,0.29321986875,0.18890906512605,0.889997877358491,0.078714554553652,0.640574577922078
CASH_ADVANCE_FREQUENCY,0.135144200335197,0.06041883370607,0.455034550236407,0.061523281563126,0.035003355670103,0.494736808095952,0.10557098943948,0.070795136,0.497109632669983,0.034099778362381,0.06939130862069,0.101213578183928,0.173370986686391,0.033625828102711,0.170321135542169,0.064961067395264,0.052167275897436,0.324797423239436,0.599821918367347,0.171500690909091,0.062071393503138,0.026714249594814,0.070941732342008,0.613390022018349,0.056858851772288,0.333297869152046,0.026385511231281,0.063959360383623,0.057688328440367,0.336688345185185,0.052522392857143,0.175934035384616,0.074444422222222,0.614817189493433,0.283630123966942,0.057321960195269,0.052607715725807,0.173786869029276,0.645793219239374,0.077131762790698,0.365251965811966,0.052088241635688,0.02613199002079,0.089082947598253,0.055304476995674,0.023444155117026,0.662704021077284,0.056669016157989,0.1704581765625,0.30991631092437,0.047861852201258,0.350231779080252,0.048160142857143
CASH_ADVANCE_TRX,3.24882681564246,1.02923322683706,12.4751773049645,1.52905811623247,0.634930260764099,14.2391304347826,1.8483617655023,1.8592,14.8449419568823,0.635646169023348,1.84137931034483,1.83463881636205,2.73520710059172,0.621968616262482,2.66415662650602,1.68488160291439,0.834188034188034,7.04788732394366,20.7329931972789,2.68181818181818,1.00073827980805,0.481361426256078,2.18959107806691,21.5247706422018,1.13533834586466,7.33260233918129,0.476705490848586,1.0313537440059,1.2,7.4437037037037,0.996240601503759,2.75230769230769,2.32,21.7467166979362,5.98760330578512,0.914006759294029,0.993951612903226,2.71802773497689,23.4854586129754,2.43720930232558,8.31623931623932,1.07063197026022,0.471101871101871,2.64192139737991,0.878489972473457,0.42312987608995,24.5456674473068,1.06283662477558,2.6359375,6.80672268907563,0.937106918238994,7.70964833183048,1.1038961038961
PURCHASES_TRX,14.7098324022346,9.48258785942492,5.93557919621749,62.37374749499,19.9008489993936,7.02023988005997,2.54318981857568,75.6208,7.43283582089552,21.2578099309438,77.4310344827586,2.73368146214099,5.4896449704142,22.5356633380884,5.57831325301205,78.6539162112933,3.49025641025641,3.2830985915493,11.406462585034,5.40454545454545,2.77224067921742,16.8731766612642,96.1598513011152,10.9743119266055,45.3974221267454,3.5233918128655,16.9201331114809,2.71007008483954,49.4862385321101,3.57703703703704,35.2086466165413,5.19384615384615,105.733333333333,11.1332082551595,6.52066115702479,2.81261734885468,36.1451612903226,5.24345146379045,11.7807606263982,109.386046511628,2.94301994301994,49.3271375464684,17.1538461538462,93.1965065502184,2.66063704286276,15.4373565855897,11.384074941452,34.5996409335727,5.1625,6.11764705882353,35.1147798742138,2.82506762849414,91.5064935064935
CREDIT_LIMIT,4494.44945036462,3573.74558010193,6128.69653986702,7497.99599198397,4085.7095974909,6626.16532642804,3407.11087035022,8524.48,6927.69862807214,4284.38022115258,8603.79310344828,3527.46446185088,2500.52345678963,4316.54787893188,2470.81950728959,8703.27868852459,3430.18917378906,4905.7543747338,7995.74829931973,2501.75012645372,3385.6232312045,3822.18405693882,9920.81784386617,7998.71559633028,6390.11815252417,5109.77427786696,3769.53005512687,3374.78913070196,6168.80733944954,5171.31200897926,6591.07142857143,2455.16692347149,10320.8888888889,7963.41463414634,8845.36063110537,3417.10602077845,6560.98790322581,2459.41872427932,7809.2841163311,10465.5813953488,3638.09749920893,6046.09665427509,3811.80883680873,8811.13537117904,3437.47673351671,3664.77753672556,7336.4168618267,6334.2908438061,2407.04747000469,9127.42551566176,5168.6320754717,3681.43973549775,10145.7792207792
PAYMENTS,1733.1438520248,1000.20412423179,2808.72429710757,4507.01217156814,1245.04000566798,3070.77044294977,1005.44686650284,5753.55598086239,3289.88015297263,1332.67790040907,5890.97435104655,1060.30006950856,620.930551464498,1378.61242324179,609.767337658133,5969.91063086156,892.503474141195,1883.37690998239,4555.56788820748,623.625077966667,923.725525173496,984.426952610214,8397.87655160595,4663.67726470458,2918.11266841353,1937.58111219883,952.251932871052,919.140162845075,2854.87010054679,1979.11979181555,3039.8356365094,605.192418132308,8853.11302131111,4691.18360895684,2513.67810682232,908.756138771312,3210.02411134879,612.138742773498,5023.96893080537,8967.65223508837,1754.57224923932,2830.08548968401,973.654784436594,4921.11630974236,915.273231445145,867.799704649842,4760.1654994637,2697.46009383303,603.619974317188,2988.11417415966,2241.82383777987,1651.17013508927,10165.8684743701
MINIMUM_PAYMENTS,864.206542305081,603.61627083275,1491.71877234553,1380.86279422805,667.470742422231,1628.57695934522,634.016429442911,1551.19015613044,1739.11138533752,704.79153417295,1598.51534114931,660.63748848397,336.580420882258,700.21165251825,333.517225353619,1634.747011837,571.486079213174,1276.8826815233,1863.16967336752,335.274393271523,574.565283648786,578.902460753232,2041.69513843284,1854.13283966236,1155.20132855844,1326.81954738633,578.724446107067,571.100983314554,1691.077877718,1345.053120686,638.755263787194,336.192955457913,1918.06692183482,1861.98120643774,2575.55604408386,565.393187120367,645.514159650505,337.544729082631,1841.24687503596,1968.40377694392,793.111404713321,1659.96506481391,578.762215574487,2252.04881666079,588.211364890376,567.460514179282,1732.99636036471,630.077809990991,323.179387719658,2522.63233735684,1190.5058736868,839.733047867094,1481.40308675163
PRC_FULL_PAYMENT,0.153714648491621,0.164964325559107,0.037406146572104,0.280338903807615,0.25532000667071,0.038895791604198,0.084211375304631,0.2733138032,0.038279540630183,0.251530051627755,0.2658358,0.084821536988686,0.174724096153846,0.252994886590585,0.177164606927711,0.268274579234973,0.113171228034188,0.031291797887324,0.044163612244898,0.176311925757576,0.09643034883721,0.246027086709887,0.305942981412639,0.044360618348624,0.260196544575725,0.030875282163743,0.243717334442596,0.094481617115456,0.252140394495413,0.030872490370371,0.280548821428571,0.17295604,0.306769915555555,0.044876099437148,0.008896811983471,0.0974466988359,0.286389002016129,0.173442654853621,0.04810922147651,0.301529237209302,0.040764391263058,0.260225583643123,0.244518246985447,0.188360799126638,0.093523354699174,0.245805085819183,0.051243081967213,0.261565436265709,0.1751178046875,0.013111598739496,0.271163215408805,0.03692272858431,0.388804785714286
TENURE,11.5173184357542,11.5276357827476,11.2541371158392,11.8987975951904,11.5861127956337,11.2526236881559,11.482263742215,11.9264,11.6293532338308,11.9066096678724,11.9310344827586,11.8825065274151,7.3491124260355,11.90727532097,7.31475903614458,11.9271402550091,11.8912820512821,11.8091549295775,11.4557823129252,7.30757575757576,11.8874123292728,11.8942463533225,11.9442379182156,11.4275229357798,11.9280343716434,11.8077485380117,11.8868552412646,11.8886019918849,11.9321100917431,11.8059259259259,11.8684210526316,7.28461538461538,11.9555555555556,11.4333958724203,11.8264462809917,11.885467517837,11.875,7.28351309707242,11.4093959731544,11.953488372093,11.7834757834758,11.9312267657993,11.8881496881497,11.9301310043668,11.8879276445144,11.8848095456631,11.3653395784543,11.8653500897666,7.29375,11.7226890756303,11.9276729559748,11.7989179440938,11.9415584415584
